polarity,processed
joy,kalo manggil dengan sebutan ibu kaya lebih sakral ya haha
joy,suka cewek semok drpd cew cantik
joy,sisain satu cowok kaya bambam pl biar hidup gue ga datar amat amiin
anger,kamu diemin aku chat gak dibal cuek juga giliran aku deket dengan yang lain kamu marah hey ma ingat gak kita bukan siapa siapa
netral,ask for f kalu di bonceng lebih pcr or siapa pun itu suka naik metik atau motor sport no muna
netral,mau nanya mtk dong guy dalam sebuah du terdapat bola merah bola putih bola hitam berapa probabilita terambil bola hitam dalam satu kali pengambilan
joy,chat line yu drop ur line id ya
joy,aku suka cewek pendek bisa ditoyor toyor heheh
love,gue mau cerita dan butuh saran dari kalian jadi gue punya temen deket dan emg kita sale sayang and we knew it hubungan ya kaya org ttm pada umumnya
sad,gmn dah mo bukber sama anon tp lagi sariawan gb makan
sad,yah puasa gue bolong sehari gegara flu berat samp gemeteran
fear,kapan sih bayar semesteran dek takut kepak uangnya agustusan bu yaudah tf aja uangnya ke rek akoh ya dalam menit sudah ilang duitnya dibelajain kamu eheh
joy,let chat about anyth jakarta
joy,assssffjjk aku suka sekali ketiak gatau kenapa
joy,selamat hari waisak sadhu sadhu sadhu
fear,serem amat sih gengster udah masuk perumahan gue
anger,kadang acuh itu emang haru
joy,sungguh mengagumkan tahun dua ribu
netral,klean yg kpoper fandomni apani
sad,gua suka sedih sebenernya klo mau liburan semest soalnya pasti bakal dtg kewajiban bayar ukt tr nanti liat ortu sibuk nyari duit kesana kemari ga tega padah
netral,big booti big boobsssss
joy,makan ice cream enak nih
fear,chattan sama anon udh move ketiganya udah baper sama gw mampu dah
netral,http yang lalaki merapat yang awew makin merapat lur
joy,feel better now alhamdulillah
confused,gue minta kejelasan ke dia dan menurut kalian ini terlalu berambisi wajar gitu sih
joy,tolong pertemukan saya dengan ma hero huhu
joy,syukurlah sejauh ini belum ada cew yang baper sama gua
anger,aku ngajak chat aja ya yang sagapung minggir deh bgst toxic bgt si anjng
sad,bisa nghabisin waktu sama husband gelut sama husband kalo doi lagi bawel gitu asik kali ya soon
anger,chat lah anjir gabut gue jangan clean teru terusan tapi
joy,lebaran tahun lalu kita masih bareng ya tahun ini aku sendiri teru samperin kamu ke rumah baru
sad,mau kek link spotifi premium hoi gratizz
joy,heeey sahaabaaat aku barusan di follbaaackkkk wkwkwkwkkwkwkek senanknyaaaaaa hmmmmmmmmmmmmm
sad,pgn dah baper ama stranger biar kek lagu
sad,gue gabut sangat chat yu
netral,julian brandt kapan mau sama aku
joy,aku ngegam dulu ya dadah
netral,bulutangki gan tvri
netral,yg ngerti ajadeeeh bandung
netral,sampai sekarang gua ga tau apa faedahnya dari baper
joy,setelah beberapa minggu ini berkegiatan diluar akhirnya bisa menikmati minggu dirumah
sad,pgn pacaran tpi gua jele gini gaada cew yg mau
sad,otak gue mulai tercemar semenjak main twitter sama tell hadeh
joy,cowok yang suka aku pacarin langsung ga pake nawar
anger,nanti kalo gue cuekin jangan kaget lo ye
confused,aneh bener mimpi gua segala ngimpi mau bukber teru malah order gocar padah tadinya mau order yang motor udah gitu kaga bisa dicancel hadeeeh
sad,bek ampa lukaku
sad,ip ipk cuma naik dikit bat yak tapi alhamdulillah deh
sad,kita adalah rasa yg tepat di waktu yg salah
love,pagi zheyengggggggggg
sad,dulu mah pa muda sere bgt pake topeng keramahan skrg udh tua mah udah bodoamat sama omongan orang seharusnya dari dulu kaya gini nih gue huft
confused,edo nya sargib kenapa dah kasih tau dong
sad,bukunya sih udah turun ke tangan male nya aja yang gak
sad,makin naik semest dapet ipk aja susahnya minta ampun bata gua cuma dapat ipk
joy,yg stay di sub main yuk nanti awal juni
sad,chat yuk gabut dan telat sahur tadi
netral,saran tempat me time yang enak di sekitaran margonda depok jangan kfc atau mcd ya
joy,diumur segini udh gak pengen dateng ke lagi pengennya travel teru hunt makanan
joy,masa gua mimpi dikasih iphon sama syahrini anjir
sad,dari tadi ngalungin handuk teru ga mandi
joy,cowo yg panjang kenapasi ganteng
sad,mei seruan aksi reformasi gagal total etdah yak udah ngapa udah
fear,bahaya anjir anon gua baper takut kebawa baper juga kan kalo gua ngeledekin teru wkwk
netral,yg ga puasa ayo ngomongin dirtiiii di chat biar ga ganggu yg puasa hehe f
joy,other than dicck and pussssi everi other thing is just a social construct enjoy whatev you want
joy,akhirnya sendirian di rumah asik mau
sad,sakit haid itu bawaannya pengen woiii anjirlahh gakuaddd
netral,gimana cara buat ilangin beka
joy,chat santai yuk dari
netral,sudah lama tidak berinteraksi dengan disini
sad,kenapa yg deket malah aja giliran yg jauh malah yg asik
netral,kode simpati area jakarta ya
sad,mau nyapu gajadi jadi anjirlah maen bae hp
anger,goblooooooo saha ieu nu masak indomi wayah kieu
sad,gue udah dari pagi depan laptop kanan kiri jurnal makalah laporan buku dan samp skrg baru kelar
netral,ada f yang lagi nyari pacar
sad,segini nya nasib gapyear ya kumpul temen sma kaga disapa dicuekin aja untung puasa
sad,bosen kadang kalo dikantor f mau nemenin chat
joy,hari ini pengen bukber sendiri yah me time aja kerja slm ini juga mesti di paid off lh kan ya buat diri sendiri
sad,dari tadi ngomongin ipk mulu anjirr gue jdi kepikiran gue pernah punya pengalaman buruk
sad,mantan gw mau nikah ehh nyuruh gw jadi bridesmaid yah emang sih dia udah nganggep gw adeknya karna umur kita jauhh tapi seenggaknya disisi lain gw tuh mantannya
anger,knp si kalo haid musti di umbar biar apaaa w jg ngrasain kali ga lu doang
joy,baru balik ko udah pada nyariin maaf geng ku mau me time sama kasurku dulu samp ketemu besok
joy,keadaan masjid saat teraweh cuma dua shaf saat bukber nyamp depan pager masjid subhanallah
netral,gue mau tanya dong clean kok
netral,ada yang pernah ke pp surya sehat di bandung
netral,abang cuma pesen tolong bedain nikmatin masa muda sama ngerusak masa depan ya dek
netral,ada f yang seneng ga kalau di grabpay dan pgn bgt d grabpay
netral,ava max lagunya kaya penyanyi siapa ya agak gitu nada nya ladi gaga kayanya
netral,kurang cantik tapi segudang prestasi atau cantik tapi sere ngeluh dan ada butuhnya
netral,sitik meneh aku meh balik omah
sad,fine gue mundur sebelum makin nyesek hehe
sad,ldr itu rumit haru ada waktu samp ngorbanin main sama gimana ya biar bisa bagi waktu tapi ga bikin hubungan renggang cape sendiri kalo gini mah mewek mulu
netral,http waktu tuhan ndc piano version
netral,gue pengen diskusi apakah kalian ada topik buat diskusi ah apa kita baha topik soal hasil pilpr aja
netral,disini ada gak yg kelasnya masuk pa lebaran sekalian sholat i bareng kayanya kela gue gitu deh
sad,i worthless useless full of dumb heinou and cowardic
anger,bangun tidur jam cek wa tiba tiba dichat adek tingkat gua yg sbimbingan ktanya diundang bapak bukber dirumahnya gilasih ga skalian ngundang mnit sblum buka
anger,bisa berubah ke yg lebih baik lagi ga kalo sekiranya ga sanggup silahkan cari wanita yg menurut kamu bisa kamu gauli teru
sad,never enough for meeee for meee for meeehhhhhh for me
sad,gua anaknya ga bisa dugem denger musik edm aja muntah heheh maaf aku lelaki lemah
joy,enak kayanya fc rame orang y g
netral,itu video grab yang mukanya sama mereka beneran sale gak kenal apa ternyata kembaran
anger,bisa berubah ke yg lebih baik lagi ga kalo sekiranya ga sanggup silahkan cari wanita yg menurut kamu bisa kamu gauli teru
joy,tant anaknya kok baik banget sayang kurang peka boleh ga aku ajarin dia cara biar peka tapi kalau dia jadi ayah dari anak ku tant izinin ga
anger,dicancel mulu main hagonya bgsd
sad,berbukalah dengan keluarga karena yang mani belum tentu mau diajak berkeluarga
love,waduuh ternyata doi masih menunggu kabarku yang menghilang kukira dia surrend ternyata masih mengingat
sad,gini gue di rl tipik talk dan suka datengin cowok duluan buat ngobrol tapi di sini kok gue malah gak suka make a first move
sad,chat yuu gaboet inii asli
netral,ada apa sih sama si edo mantannya sargib
sad,gaada yang niat ngajakin bukber gituuuu
anger,gue sengaja ikut tersulut emosi ngga cm diem kya biasanya jd kita beradu makian dan terakhir putu itu cara gue utk lari dr hubungan ini hehe
sad,waktu tahun lalu pa malem takbiran gue haid skrg pa mau buka gue haid indah sekali ya
joy,f hijab gemesin deh pengen chat hehe m
sad,capek jalanin ldr ngerasa makin lama makin berat
joy,aduuuh makin kesini ko pesona mark jeno dan jaemin makin berkilau masaa
netral,sebenernya itu yang demo tgl atau sih
joy,gae kalian udah bolong puasa brp hari me day hueheh
netral,kamu mau ga bangun tidur ketemunya aku itu maksud ke arah negatif ga sih
sad,ini emang gabaik sih tbh gua puse kayak mau pingsan seharian ngerjain soal mtk wajib smster kl dan buat siapapun kalo puasa belajarnya pk teknik podomoro
joy,rasanya pengen titiiw ke payuddara cew ber jilbob uhh
netral,ada yg bi ga bre disinii
netral,ada yg pernah pake masker kopi minyak zaitun review dong
sad,gue kaya udh terbiasa gtu ngadepin sikapnya
joy,lagi di fase udah ga perlu belanja baju dll buat lebaran yang pent kuota ada teru
joy,lagi fc an gua nanya sm dia tipe cew lo kek gmn si emgnya tr dia jawab kaya lo intinya yang barbar tr gua diem ko diem gadeng gua hdjansnaajhha
sad,jadi ceritanya gua mau ldr karena udh ada lulu kuliah tapi cew gua hpnya udh legend banget case belakangnya sere lepa batrenya cepet mati
sad,gue dateng kesini juga karena menghargai orangtua lo juga ngehargaiin ayah gue gak lebih demi allah sakit bgt dah sodara sendiri kenapa begini bgt
netral,snapchat f here thank
joy,ada yg main audi pc disini mabar kuyyyi
netral,diskusi sesuatu yuk coba sebutin topik apa yang mau kalian diskusikan mau f mau m kuy kita diskusi
sad,baru hari libur aja gabut bgt gini gimana kedepannn
joy,pengen punya pacar yg suka ngajak belajar deh biar pinter gt
sad,udah gua dideketin sama orang yang sekedar gua harapkan selama ini gua tau diri dan yakin itu gaakan terjadi tapi ini ada apa
sad,jrng bgt ngasih tip ke ojol pale gantiin buat parkir doang klo ngasih bintang ngaruh ga sih
sad,puse dah punya ponakan kembar klo bangunin gue tidur ndusel di perut gue amp geli bgt klo minta gendong kudu
disgusted,serious cuma ke bdg naik pesawat biasa ke jogja naik bi elah
joy,samp sekarang belum ada yg ngajak bukber hehehehehheh
sad,patah hatiiiiiiii
netral,http waktu tuhan ndc piano version
love,kau adalah alasan dan jawaban ata semua pertanyaan lanjoot
netral,kan di recent updat line gada dia ganti ava tapi pa di friend list ava dia udah ganti itu di blok atau gimana
sad,jangankan tamu di rumah orang tamu di rumah sendiri aja lebih milih diem di kamr
love,cewek smp yang sekolah di kartika cijantung mani banget gue pasti selalu disenyumin dia kalo pulang lewat situ
netral,eh emang iya kalo meluki menggambar membuat patung dsb gitu dilarang dalam islam teru malah ada yg bilang musik itu haram butuh penjelasannya dong
joy,selamat berbuka puasa dek
confused,buat cewek nyaman gak sih ht teru tapi ga m
joy,emak gua kalo ngomong sama ade gua yang bontot be like tot bangun tot bangun sahur makan dulu tot eeehhh malah merem lagi tooot bangun tot pengen ngakak gua haha
joy,kenapa kue putu enak sekaleeeehhhh
joy,padah baru mau satu bulan tapi kok kerasanya kaya udah lama banget gitu wkwk
sad,puasa hari ini parah banget pagi pagi udah marah gegara ade sore nangi gegara temen yaallah ngga dapet pahala apa apa hari ini
joy,gue pd riweuh ngajak bukber dr tmn gue cuma mau bukber sm keluarga gue semenjak kerja kota jarang ada waktu buat keluarga
sad,masih banyak yang belum sempat aku katakan padamu
anger,mau minta pendapat pacar jarang ke rumah bilangnya lagi bokek padah dia nongkrong di kemang sama boleh kesel ga sih
joy,gaya hhhh emang mantep banget gue suka banget apalagi ngedeng suara bokong kena badan gue plok plok plok bikin gue jadi nafsu berat
love,pengin juga ngejalanin hubungan yang seriu wkwk
sad,pli kaum cowok kalo ada ce suka kalian tru kalian ga suka tolong suruh dia ngejauh bukannya dibuat mainan hatinya tolong kasi tau kaum kalian yg kek gitu
sad,baru masuk kerja seminggu baru dapet uang makan hr kerja masih banyakan gabutnya udh mikirin setahun kemudian mau liburan ke jogja apa bandung dasar aku
sad,aku mah gapernah muluk muluk nyari cew yg pent dia putih mulu ga jerawatan kuru heheh
netral,lau gamau fc atau vc gitu m here
netral,suka ga ngerasa kalo gue udah
joy,buat yg cari akun vc gua jamin real karna tadi gua cobain sejam haha mantap pc aja
anger,how to slap someon through the internet
joy,di jouska freelanc sebulan bisa dapat hectic banget gak ya kerjanya gila gila
joy,gua tuh orangnya sangat mengapresiasi seni dalam bentuk apapun ini bertentangan ga sih sama syariat islam
netral,udah adzan belum bandung dan sekitarnya
sad,pengen punya cowo tinggi mancung kumi tipi tp gue nya gak sadar diri astaghfirullahaladzim
netral,dah adzan yaa apa itu latihan adzan
joy,jangan lupa berbuka dengan yg yaa yg kayak kamu misalnya hehe
joy,agama saya islam tapi berteman dengan wanita non islam sangat menyenangkan male
netral,tolong share dong cerita toleransi yang pernah kalian lakuin ke org sekitar toleransi yg pernah org lakuin ke kalian tolong dijawab ya kak makasih
sad,sahabat gue yg satu obsesi jd cantik udh cantik ga mau temenan lagi yg satu obsesi jadi pinter udh pinter ga temenan lagi gue obsesi sholat tepat waktu g ditemenin
netral,apa cuma gue yg punya snapchat tapi dipak buat filter an doang
sad,tiap mau haid biasanya pinggang atau dada yang sakit tp sekarang mental gue yang sakit sensit bgt asli masalah sepel doang gue bisa nangi ga
sad,siapapun kalian yang hari ini lagi badmood tetap semangat ya
sad,tolong ya kaleng pringl digedein dikit tangan saya gak muat
netral,detect pikachu bagu cuy kocak g sih
joy,gue ngakak bgt dah kalau ada yg komen semacem apa cuma gue doang tru pada komen iya lo doang bngstt wkakwkaka
sad,gue uda ngelepasin yep semoga ini yg terbaik
love,pengen punya hubungan seriu
love,blous hitam celana lebar kulot atau apa namanya warna hitam jilbab ditali belakang warna coklat susu sungguh cantik dirimu sayang
sad,pernah kau merasa hatimu hampa pernah kah kau merasa hatimu gosong
sad,hp jaman sekarang napa layarnya semua siii ga muat kantong baju
netral,siapa disini yang mau masuk poltekk tahun ini
joy,nyari cowo yg samasama bisa nerima kekurangan hoho
sad,gue sempet ngerasa hidup gue gak berguna payah dalam segala hal samp akhirnya ada orang yang dtg ke gue pdhl gue gak kenal orang itu dia ngomong gini
joy,yoyoyyyyyyyyyyyyyyyyuy
netral,butuh cowo yg jago it adakah disini
anger,gue lagi nntn voic di viu tr gue mikir gue pengen jadi psikopat buat bunuh yang sere bilang gue anak haram hahaha
joy,masak capcay pa lagi puasa enak anjay kupersembahkan untuk calon imamq
netral,gimana hari ini goodday atau badday
netral,dirumahku tadinya ada anak kecil adikku sama keponakanku sama sama tahun ketika masih ada adekku bapakku sere pulang buat ngajak adekku jalan jalan
netral,ada yang lagi di galaxi guyssss
anger,jangan jadi perusak kalau gak mau dinilai rendah
sad,sale followback satu circl tapi mundur pa tahu gue masih pakai rok iya gak papa ma untung cuman ngefan aja
joy,move line yuk kali aja ada cewek minat
joy,line theme wrna wrni stiker bnyk emot bnyk km gmau move ke wa gtu sm aku
joy,chat yuk pengenn deh hehe m
netral,sobat tell tecintaaaah ada yg tau tempat ngeprint yg murah gak daerah bdg aku mau print agak banyak nih yg buka samp malem ya
joy,anjir ngakak bgt gue ke klinik tmpt nyokap kerja tr ada suster tinggal di klinik ini di lt nya tr cew semua ngakak dah ada yg nyanyi nyuci baju tidur teriak
joy,selamat berbuka puasa
sad,i ca rememb how it feel like to be in love
joy,bakso bakso ohh bakso bakso yang enak dimana ya guy daerah jakarta barat
netral,katanya film dua gari biru film hamil emang kalo hamil garisni biru bukan merah
fear,barusan di vc doi doi kok gak pake hijab gue kaget dong ehh baru kerama masih basah rambutnya yauda bentar mo pake dulu auto malu gue
netral,gue mau cerita dikit nih
joy,http lu haru liat ini bagu banget
joy,gua pengen berhubungan bahasa lu ambigu p a haha
sad,chattan aku mulu yg nanya kamu juga jawab cuman seadanya nggak ada niatan buat jelasin atau cari topik
netral,http sub ya kalo ada yang mau dibikinin kayak gini buat gebetan nya pc aja
sad,gue gapaham sama vc s jadi kalian tuh ngapain vc sambil mainan sendiri apa enaknya
fear,plaza kalibata kebakaran
joy,hariini bapakku pulang dengan membawa kelapa muda yey
